,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
0,Aljazeera,-0.00444,0.18,0.431,0.2155,0.4849,0.1078,0.0539,https://www.aljazeera.com/news/2023/2/27/russia-ukraine-war-list-of-key-events-day-369
1,Aljazeera,0.09475,0.36786,0.1247,0.1663,0.4158,0.0416,0.0,https://www.aljazeera.com/news/2023/2/27/russian-plane-destroyed-near-minsk-airfield-belarus-opposition
2,Aljazeera,0.08643,0.36405,0.2687,0.2149,0.5911,0.0,0.0,https://www.aljazeera.com/news/2023/2/26/russia-ukraine-war-list-of-key-events-day-368
3,Aljazeera,0.06972,0.35659,0.1787,0.1191,0.2184,0.0794,0.0397,https://www.aljazeera.com/news/2023/2/26/macron-to-visit-china-seek-xis-help-to-end-russia-ukraine-war
4,Aljazeera,0.05854,0.35858,0.3001,0.0818,0.2455,0.0273,0.0,https://www.aljazeera.com/news/2023/2/25/thousands-rally-in-berlin-paris-to-call-for-peace-in-ukraine
5,Aljazeera,0.05854,0.37677,0.0935,0.0748,0.1684,0.0,0.0,https://www.aljazeera.com/news/2023/2/25/g20-meeting-ends-without-consensus-over-russias-war-in-ukraine
6,Aljazeera,0.17239,0.30488,0.159,0.0,0.265,0.106,0.0,https://www.aljazeera.com/news/2023/2/25/ukraine-launches-banksy-postage-stamp-on-war-anniversary
7,Aljazeera,0.01541,0.36849,0.2956,0.09,0.2185,0.1285,0.0,https://www.aljazeera.com/news/2023/2/25/as-long-as-it-takes-us-aid-to-ukraine-sustainable-experts-say
8,Aljazeera,0.01917,0.20583,0.2486,0.1776,0.3196,0.0,0.071,https://www.aljazeera.com/news/2023/2/25/russia-ukraine-war-list-of-key-events-day-367
9,Aljazeera,0.10864,0.40752,0.3678,0.2102,0.3153,0.0,0.0,https://www.aljazeera.com/news/2023/2/25/eu-approves-10th-package-of-sanctions-on-russia-over-ukraine-war
10,Aljazeera,0.05798,0.3476,0.2751,0.0917,0.2599,0.0153,0.0764,https://www.aljazeera.com/news/2023/2/24/one-year-into-invasion-ukraine-mourns-vows-victory
11,Aljazeera,0.10289,0.37829,0.24,0.2057,0.2057,0.0171,0.0343,https://www.aljazeera.com/news/2023/2/24/all-you-need-to-know-about-chinas-plan-for-russia-ukraine-war
12,Aljazeera,0.08449,0.32312,0.351,0.1462,0.3217,0.0585,0.0,https://www.aljazeera.com/news/2023/2/24/us-announces-new-ukraine-aid-russia-sanctions-on-war-anniversary
13,Aljazeera,-0.00825,0.42249,0.142,0.1263,0.1263,0.0158,0.0,https://www.aljazeera.com/news/2023/2/24/never-wanted-to-leave-mariupol-residents-look-back-at-war
14,Aljazeera,0.11327,0.32239,0.3547,0.2295,0.2712,0.1043,0.0626,https://www.aljazeera.com/news/2023/2/24/west-voices-support-for-ukraine-a-year-into-russias-invasion
15,Aljazeera,0.03243,0.31846,0.2736,0.1824,0.3649,0.0912,0.0608,https://www.aljazeera.com/news/2023/2/24/five-key-ways-the-us-has-supported-ukraines-war-effort
16,Aljazeera,0.0841,0.3917,0.132,0.066,0.264,0.066,0.0,https://www.aljazeera.com/news/2023/2/24/moscow-must-push-borders-back-as-far-as-possible-says-medvedev
17,Aljazeera,0.02998,0.39459,0.1497,0.2396,0.2096,0.0,0.0,https://www.aljazeera.com/news/2023/2/24/ukrainians-on-first-anniversary-of-russias-war-i-worry-a-lot
18,Aljazeera,0.12106,0.35423,0.1378,0.1484,0.1272,0.0106,0.0,https://www.aljazeera.com/news/2023/2/24/has-the-ukraine-war-strengthened-europe-or-weakened-it
19,Aljazeera,0.03843,0.53148,0.4058,0.1803,0.4058,0.0451,0.0451,https://www.aljazeera.com/news/2023/2/24/russia-ukraine-war-list-of-key-events-day-366
20,Aljazeera,0.07385,0.4319,0.3041,0.1086,0.3041,0.0217,0.0434,https://www.aljazeera.com/news/2023/2/24/china-calls-for-russia-ukraine-cease-fire-proposes-peace-talks
21,Aljazeera,0.07958,0.30945,0.1077,0.0,0.1795,0.0359,0.0,https://www.aljazeera.com/news/2023/2/24/un-tells-russia-to-leave-ukraine-how-did-countries-vote
22,Aljazeera,0.04028,0.31566,0.2276,0.1365,0.2959,0.0455,0.0228,https://www.aljazeera.com/news/2023/2/24/un-condemns-russia-over-ukraine-war-calls-for-withdrawal
23,Aljazeera,0.07828,0.37059,0.2642,0.1441,0.2522,0.036,0.048,https://www.aljazeera.com/news/2023/2/23/year-into-ukraine-war-china-says-not-sending-weapons-to-russia
24,Aljazeera,0.01831,0.27979,0.1675,0.307,0.3349,0.0837,0.0279,https://www.aljazeera.com/news/2023/2/23/nato-chief-sees-signs-china-considering-supplying-arms-to-russia
25,Aljazeera,0.05232,0.32632,0.2823,0.1964,0.3559,0.0368,0.0123,https://www.aljazeera.com/news/2023/2/23/as-weapons-taboos-fell-kyiv-and-the-west-became-committed-allies
26,Aljazeera,0.04435,0.29765,0.1719,0.0573,0.2292,0.3152,0.0,https://www.aljazeera.com/news/2023/2/23/putin-says-russia-to-deploy-sarmat-nuclear-missiles-this-year
27,Aljazeera,0.02023,0.37155,0.1714,0.2493,0.3583,0.2337,0.0779,https://www.aljazeera.com/news/2023/2/23/ukraine-war-shifts-global-power-relations-as-china-asserts-role
28,Aljazeera,0.03125,0.27655,0.1514,0.101,0.4291,0.0505,0.0,https://www.aljazeera.com/news/2023/2/23/russia-ukraine-war-list-of-key-events-day-365
29,Aljazeera,0.02765,0.25541,0.118,0.177,0.295,0.118,0.0,https://www.aljazeera.com/news/2023/2/23/wang-yi-meets-putin-in-sign-of-deepening-china-russia-ties
30,Aljazeera,0.01335,0.41997,0.0851,0.0567,0.1418,0.0284,0.0,https://www.aljazeera.com/news/2023/2/22/wagner-chief-mercenaries-slaughtered-because-of-shell-hunger
31,Aljazeera,0.10263,0.30049,0.1457,0.1665,0.5203,0.2706,0.0,https://www.aljazeera.com/news/2023/2/22/russian-official-says-nuclear-war-no-closer-despite-treaty-move
32,Aljazeera,0.11617,0.34764,0.2728,0.2619,0.2292,0.0327,0.0,https://www.aljazeera.com/news/2023/2/22/all-of-ukraine-is-a-battlefield-lessons-about-modern-war
33,Aljazeera,0.0904,0.31368,0.1237,0.1649,0.4124,0.0412,0.0,https://www.aljazeera.com/news/2023/2/22/russia-rules-out-firing-hypersonic-missile-during-naval-exercise
