,link,article,polarity,subjectivity,length,ukraine,war,russia,putin,zelensky
0,https://www.aljazeera.com/news/2023/2/27/russia-ukraine-war-list-of-key-events-day-369,"Here is the situation as it stands on Monday, February 27, 2023:FightingUkraine’s armed forces said Russia is continuing to concentrate its main efforts on offensive actions along the Kupiansk, Lyman, Bakhmut, Avdiivka and Shakhtar parts of the front line.Ukrainian President Volodymyr Zelenskyy dismissed Eduard Moskalyov as commander of the joint forces of Ukraine, which are engaged in battles in the Donbas region.Members of Belarus’s exiled government and partisans in the country said a Russian A-50 surveillance aircraft was damaged in a drone attack at an airfield near the capital, Minsk.DiplomacyThe United States has warned China of serious consequences if it provides arms to support Russia’s invasion of Ukraine. Beijing, which last week introduced a 12-point plan to seek peace in the conflict, has denied it plans to send weapons.German Defence Minister Boris Pistorius on Sunday reacted with scepticism to a Chinese ceasefire proposal for the war in Ukraine.Russian President Vladimir Putin cast the confrontation with the West over the Ukraine war as an existential battle for the survival of Russia and the Russian people – and said he was forced to take into account NATO’s nuclear capabilities.Former Russian president and Putin ally Dmitry Medvedev said the continued arms supply to Kyiv risks a global nuclear catastrophe, reiterating his threat of nuclear war over Ukraine.The European Union has decided to increase pressure on Moscow “until Ukraine is liberated” as it adopted a 10th package of sanctions on Russia on Saturday, a day after the first anniversary of the invasion of Ukraine.The UN Human Rights Council will begin a session in Geneva on Monday, with Russia set to send its highest-level envoy since Moscow terminated its membership following a vote by the UN General Assembly to suspend it in the wake of the invasion.",-0.00444,0.18,1856,8,4,9,2,1
1,https://www.aljazeera.com/news/2023/2/27/russian-plane-destroyed-near-minsk-airfield-belarus-opposition,"A Russian A-50 military surveillance aircraft has been damaged in a drone attack at an airfield near the Belarusian capital of Minsk, according to Belarus partisans and members of the exiled opposition.“Those were drones. The participants of the operation are Belarusian,” Alexandr Azarov, leader of Belarusian antigovernment organisation BYPOL, was quoted as saying on Sunday on the organisation’s Telegram messaging app and on the Poland-based Belsat news channel.“They are now safe, outside the country.”Belsat is a Polish broadcaster focused on Belarusian news that Minsk has branded as extremist. BYPOL, which includes former law enforcement officers who support opposition politicians, has been branded a “terrorist” organisation.“Partisans … confirmed a successful special operation to blow up a rare Russian plane at the airfield in Machulishchy near Minsk,” tweeted Franak Viacorka, a close adviser of opposition figurehead Sviatlana Tsikhanouskaya.“This is the most successful diversion since the beginning of 2022,” he added.It was not possible to independently verify the reported operation, and authorities in Russia and Belarus have not made statements on the alleged attack.Belarusian President Alexander Lukashenko (left) has been a staunch ally of Russian President Vladimir Putin [File: Sputnik/Pavel Bednyakov/Kremlin via Reuters]Front and central parts of the aircraft as well as the radar antenna were damaged as a result of two explosions, BYPOL reported.The Beriev A-50 aircraft is a Russian airborne early warning aircraft with the ability to track up to 60 targets at a time.Belarus has not taken a direct role in Moscow’s attack on Ukraine, but President Alexander Lukashenko did allow Belarusian territory to be used as a staging post by Russian forces for their February 24, 2022, invasion. He said earlier this month that Belarus was ready to do so again.Kyiv has accused Russia of using Belarusian airstrips as a base to launch attacks on Ukraine and has voiced concerns for months that Belarus could join the war on Russia’s side.Russia and Belarus have set up a joint military unit in Belarus and have held numerous exercises. A number of Russian warplanes and airborne early warning and control aircraft have also been deployed to Belarus.Lukashenko is due to begin a state visit to China on Tuesday, days after Beijing published a 12-point framework for peace in Ukraine.",0.09475,0.36786,2405,3,4,10,1,0
2,https://www.aljazeera.com/news/2023/2/26/russia-ukraine-war-list-of-key-events-day-368,"Here is the situation as it stands on Sunday, February 26, 2023:FightingRussian mercenary leader Yevgeny Prigozhin has said forces of his Wagner group had captured the village of Yahidne, just north of Bakhmut in eastern Ukraine, on Saturday. The claim could not be independently confirmed.Ukrainian military reports suggest that villages near Bakhmut have remained under Kyiv’s control.Russian authorities detained more than 50 people at antiwar demonstrations in 14 Russian cities on February 24, according to the Washington, DC-based Institute for the Study of War.DiplomacyFinance chiefs of the world’s largest economies have strongly condemned Moscow for its war on Ukraine, with only China and Russia itself declining to sign a joint statement at the G20 meeting in India.Russia’s senior diplomat to the United Nations has accused the West of “cowboy” methods and “arm twisting” ahead of last week’s UN General Assembly vote demanding Moscow withdraw its troops from Ukraine.French President Emmanuel Macron has said he will visit China in early April, in part to seek Chinese help with ending Russia’s invasion.The United States marked the anniversary of Russia’s invasion with $2bn in weaponry aid for Kyiv and new sanctions against Russia aimed at undermining Moscow’s ability to wage war.A senior Belarusian official was quoted as saying the country, a close Russian ally bordering Ukraine, has as many as 1.5 million potential military personnel outside its armed forces.Russia has halted supplies of oil to Poland via the Druzhba pipeline, Daniel Obajtek, chief executive officer of Polish refiner PKN Orlen, said on Saturday.Ukraine plans no more outages to ration electricity if there are no new Russian attacks and has been able to amass some power reserves, the energy minister said on Saturday, after months of interruptions caused by bombings.",0.08643,0.36405,1861,5,4,11,0,0
3,https://www.aljazeera.com/news/2023/2/26/macron-to-visit-china-seek-xis-help-to-end-russia-ukraine-war,"French President Emmanuel Macron has said he will visit China in April to seek the Chinese government’s help with ending Russia’s invasion of Ukraine.The announcement on Saturday came after China published a 12-point position paper that called for a ceasefire and a “political settlement” to end the year-long conflict.Macron, speaking on the sidelines of an agricultural show in Paris, said he would visit China in “early April”.“The fact that China is engaging in peace efforts is a good thing,” the French leader said, stressing that peace was only possible if “Russian aggression was halted, troops withdrawn, and the territorial sovereignty of Ukraine and its people was respected”.“China must help us put pressure on Russia so that it never uses chemical or nuclear weapons … and that it stops its aggression as a precondition for talks,” he added.Beijing has sought to position itself as a neutral party on the conflict, even as it has maintained close ties with Russia and helped scuttle a joint statement condemning the war at a G20 gathering in India.The Chinese position paper, published on the anniversary of the conflict, said war benefits no one and urged all parties to “support Russia and Ukraine in working in the same direction and resuming direct dialogue as quickly as possible”.Released by the foreign ministry, the plan urges an end to Western sanctions against Russia, the establishment of humanitarian corridors for the evacuation of civilians and steps to ensure the export of grain after disruptions caused global food prices to spike last year.It also made clear its opposition to the use and threat of deploying nuclear weapons after Russian President Vladimir Putin threatened to use Moscow’s atomic arsenal in the conflict.Ukrainian President Volodymyr Zelenskyy welcomed China’s efforts on Friday, saying Kyiv needed to cooperate with Beijing to put an end to the war.“China started talking about Ukraine, and that’s not bad,” Zelenskyy said. “It seems to me that there is respect for our territorial integrity, security issues.”“We need to work with China on this point. … Our task is to unite everyone in order to isolate one,” he added.The Ukrainian leader also expressed hopes to meet Chinese counterpart Xi Jinping, calling it “important for world security”.But some of Ukraine’s allies have expressed scepticism at China’s commitment to brokering peace, nodding to Beijing’s close ties to Moscow.NATO Secretary General Jens Stoltenberg said China was not well placed to negotiate an end to the war. “China doesn’t have much credibility because they have not been able to condemn the illegal invasion of Ukraine,” he told reporters, adding that Beijing had signed an agreement with Putin days before the invasion, pledging a “no limits” partnership.The United States has also said China was “considering providing lethal support” to Russia, a claim that Beijing has denied.Analysts in China meanwhile say Beijing’s refusal to condemn the Russian invasion of Ukraine makes it “the only honest broker who can help resolve the conflict”.“China as one of the largest economies in the world certainly benefits from an end to hostilities,” said Andy Mok, senior research fellow at the Center for China and Globalization think tank.“From a reputation prestige perspective, playing a role in bringing this conflict to a close when no other major power has been able to do so would burnish China’s reputation,” he told Al Jazeera. “But we have to recognise that there’s only so much that an honest broker can do and sometimes, both sides have to fight to a certain amount of exhaustion before there can be a negotiated settlement and whether we are at this point or not, remains to be seen.”Macron’s announcement of his Beijing visit came shortly after the Chinese foreign ministry said Belarusian leader Alexander Lukashenko would pay a state visit from February 28 to March 2 at Xi’s invitation.A longtime ally of Putin, Lukashenko is beholden to the Russian president for shoring him up in 2020 after mass protests broke out against a presidential election that the Belarus opposition and Western governments said had been rigged.Lukashenko has denied the claims and accused the West of funding protesters. He has supported Putin in his year-long war with Ukraine, including by letting him invade from Belarusian territory and by allowing Russia to train newly mobilised troops in Belarus.Ukraine has expressed concerns that Belarus could again support Moscow in its war effort, with the countries announcing the creation of a joint regional force last October.The Chinese government, in a statement, said Foreign Minister Qin Gang told his Belarusian counterpart Sergei Aleinik in a phone call on Friday that Beijing was willing to work with Minsk to deepen mutual political trust.China would also continue to support Belarus in maintaining national stability and oppose attempts by “external forces” to interfere in its internal affairs or impose “illegal” unilateral sanctions on Minsk, Qin told Aleinik.",0.06972,0.35659,5037,9,6,11,4,2
4,https://www.aljazeera.com/news/2023/2/25/thousands-rally-in-berlin-paris-to-call-for-peace-in-ukraine,"Protesters in Paris and Berlin capitals have rallied to demand peace in Ukraine, a day after the anniversary of Russia’s invasion.Thousands of people protested in the Germany capital on Saturday to condemn the government’s supply of arms to Ukraine and call for peace talks to end the war.The organisers were criticised before the protest for downplaying Ukraine’s right to defend its territory from Russian aggression and failing to distance themselves from the far right and far left, where pro-Russia views are common.One of the organisers, opposition lawmaker Sahra Wagenknecht of the ex-communist Left party, said that there was no place for neo-Nazis at the rally, but that anyone who wanted peace “with an honest heart” was welcome.While most placards at the protest reflected traditional left-wing positions, some participants bore banners with the slogan “Americans go home” and the logo of a far-right magazine. Some waved Russian flags.Wagenknecht accused the German government of seeking to “ruin Russia,” and said that Moscow should be made an “offer” in order to resume peace talks.Another of the organisers, prominent feminist author Alice Schwarzer, said it was time to look beyond left and right.The two women have also launched a petition which claims to have gathered more than 645,000 signatures.A woman takes part in a protest against the delivery of weapons to Ukraine and in support of peace negotiations between Russia and Ukraine in Berlin, Germany [Christian Mang/Reuters]Protesters jeered whenever she and Wagenknecht mentioned the name of German foreign minister Annalena Baerbock, who has strongly backed the delivery of arms to Ukraine.Police said that about 13,000 people took part in the rally at Berlin’s iconic Brandenburg Gate, while organisers claimed that 50,000 people participated.One attendee was Konstantin Schneider, an academic from Berlin, who said he understood that countries in Eastern Europe were afraid of Russia.“Of course [Russian President Vladimir] Putin is an idiot to attack Ukraine,” he said. “But we still need to find new solutions [to the war] instead of sweepingly saying there’s nothing to negotiate.”There were several small counter-demonstrations. On Friday, thousands of protesters across Europe marched against Moscow’s invasion of Ukraine.In Paris, several hundred people sang on Saturday Ukraine’s national anthem at Place de la Republique before Ukrainian children dressed in traditional costume led a procession.German Chancellor Olaf Scholz said in a recent television interview that he does not see a prospect for peace talks at present.“We need to understand that the Russian president currently accepts only one form of negotiations, which is that [Ukraine] capitulates unconditionally and he achieves all of his aims,” Scholz told public broadcaster ZDF.People take part in a protest against the delivery of weapons to Ukraine in Berlin, Germany [Fabrizio Bensch/Reuters]Source: News AgenciesAboutShow moreAbout UsCode of EthicsTerms and ConditionsEU/EEA Regulatory NoticePrivacy PolicyCookie PolicyCookie PreferencesSitemapCommunity GuidelinesWork for usHR QualityConnectShow moreContact UsAdvertise with usAppsChannel FinderTV SchedulePodcastsSubmit a TipOur ChannelsShow moreAl Jazeera ArabicAl Jazeera EnglishAl Jazeera Investigative UnitAl Jazeera MubasherAl Jazeera DocumentaryAl Jazeera BalkansAJ+Our NetworkShow moreAl Jazeera Centre for StudiesAl Jazeera Media InstituteLearn ArabicAl Jazeera Centre for Public Liberties & Human RightsAl Jazeera ForumAl Jazeera Hotel PartnersFollow Al Jazeera English:facebooktwitteryoutubeinstagram-colored-outlinerss© 2023 Al Jazeera Media Network",0.05854,0.35858,3666,11,3,9,1,0
5,https://www.aljazeera.com/news/2023/2/25/g20-meeting-ends-without-consensus-over-russias-war-in-ukraine,"Finance chiefs of the world’s largest economies were unable to agree on a joint statement condemning Russia for its war on Ukraine on Saturday, with China and Russia itself declining to sign.India, which as chair of the Group of 20 (G20) economies was hosting a meeting in the city of Bengaluru, was reluctant to raise the issue of the war but Western nations insisted they could not back any outcome that did not include a condemnation.The lack of consensus among G20 members meant India resorted to issuing a “chair’s summary and outcome document” in which it simply summed up the two days of talks and noted disagreements.“Most members strongly condemned the war in Ukraine and stressed that it is causing immense human suffering and exacerbating existing fragilities in the global economy,” it said, citing disruption of supply chains, risks to financial stability and continuing energy and food insecurity.“There were other views and different assessments of the situation and sanctions,” it said, referring to measures put in place by the United States, European countries and others to punish Russia for the invasion and to starve it of revenues.India’s finance minister Nirmala Sitharaman speaks, as economic affairs secretary Ajay Seth and Reserve Bank of India (RBI) Governor Shaktikanta Das look on [Samuel Rajkumar/Reuters]The outcome was similar to that of a G20 summit in Bali last November when host Indonesia also issued a final declaration acknowledging differences. The G20, formed more than 20 years ago to tackle economic crises, has increasingly struggled to reach the consensus needed to issue an official end-of-meeting communique.“Although there was not what we would call a communique, but only an outcome statement, we still think we’ve made some progress in having all the ministers on board,” Indian finance minister Nirmala Sitharaman said.German finance minister Christian Lindner said China’s refusal to join the declaration was “regrettable”.US Treasury secretary Janet Yellen earlier said that it was “absolutely necessary” for any statement to condemn Russia. Two delegates told Reuters that Russia and China did not want the G20 platform to be used to discuss political matters.Russia, a member of the G20 but not of the G7, has referred to its actions in Ukraine as a “special military operation”, and avoids calling it an invasion or war.India has kept a largely neutral stance, declining to blame Russia for the invasion, seeking a diplomatic solution and sharply boosting its purchases of Russian oil.China and India were among the nations that abstained on Thursday when UN voted overwhelmingly to demand Moscow withdraw its troops from Ukraine and stop fighting.Besides the G7 nations, the G20 bloc also includes countries such as Australia, Brazil and Saudi Arabia.“It’s becoming difficult for the G20 to engage in constructive discussion because of Russia’s invasion of Ukraine, which is an act that shakes the foundations of the global order,” Japanese finance minister Shunichi Suzuki told reporters.Debt negotiationsOn the sidelines, the International Monetary Fund (IMF) held a meeting on Saturday with the World Bank, China, India, Saudi Arabia and the G7 on restructuring debt for distressed economies, but there, too, were disagreements among members, said IMF Managing Director Kristalina Georgieva.“We just finished a session in which it was clear that there is a commitment to bridge differences for the benefit of countries,” Georgieva, who co-chaired the roundtable with Indian Finance Minister Nirmala Sitharaman, told reporters.One delegate told Reuters that some initial progress was made, mostly on the language around the issue, but restructuring was not discussed in detail.Yellen said there were no “deliverables” from the meeting, which was mostly organisational.Further discussions are planned around the time of the IMF and World Bank meetings in April.Pressure has been building on China, the world’s largest bilateral creditor, and other nations to take a large haircut in loans given to struggling developing nations.In a video address to the G20 meeting on Friday, Chinese finance minister Liu Kun reiterated Beijing’s position that the World Bank and other multilateral development banks should also participate in debt relief by taking haircuts.India’s push for tougher regulation of private cryptocurrency assets won wider support at the meeting.Georgieva said policymakers “should not take off the table” the option of outright bans if regulation failed. Yellen did not back such bans, but said it was critical to put in place a strong regulatory framework.Source: ReutersAboutShow moreAbout UsCode of EthicsTerms and ConditionsEU/EEA Regulatory NoticePrivacy PolicyCookie PolicyCookie PreferencesSitemapCommunity GuidelinesWork for usHR QualityConnectShow moreContact UsAdvertise with usAppsChannel FinderTV SchedulePodcastsSubmit a TipOur ChannelsShow moreAl Jazeera ArabicAl Jazeera EnglishAl Jazeera Investigative UnitAl Jazeera MubasherAl Jazeera DocumentaryAl Jazeera BalkansAJ+Our NetworkShow moreAl Jazeera Centre for StudiesAl Jazeera Media InstituteLearn ArabicAl Jazeera Centre for Public Liberties & Human RightsAl Jazeera ForumAl Jazeera Hotel PartnersFollow Al Jazeera English:facebooktwitteryoutubeinstagram-colored-outlinerss© 2023 Al Jazeera Media Network",0.05854,0.37677,5345,5,4,9,0,0
6,https://www.aljazeera.com/news/2023/2/25/ukraine-launches-banksy-postage-stamp-on-war-anniversary,"Ukraine has issued a postage stamp based on a Banksy mural depicting a young boy defeating a grown man in a judo bout as they marked the anniversary of Russia’s invasion.The British artist confirmed the mural, along with several others in bombed-out parts of Ukraine, was by him in November – with critics pointing to Russian President Vladimir Putin’s love of the sport as the inspiration.“We thought that this exact stamp, this exact painting would be the best representation of what every Ukrainian feels about our enemy,” the head of Ukrainian Postal Service, Ihor Smilianskyi, said before postmarking the first stamp.A man shows block of stamps at the main post office during the presentation of a new Ukrainian stamp with a picture of a Banksy mural [Sergei Supinsky AFP]Local resident Nataliia Hrebeniuk hailed the stamp’s symbolism.“I think the boy is a symbol of a small Ukraine which defeats the big man, Russia. It’s very representative of the situation,” she told Reuters.Putin says he is battling the combined might of the West in what he now depicts as a fight for Russia’s survival. Kyiv says there can be no peace until Russia withdraws from its territory.Source: ReutersAboutShow moreAbout UsCode of EthicsTerms and ConditionsEU/EEA Regulatory NoticePrivacy PolicyCookie PolicyCookie PreferencesSitemapCommunity GuidelinesWork for usHR QualityConnectShow moreContact UsAdvertise with usAppsChannel FinderTV SchedulePodcastsSubmit a TipOur ChannelsShow moreAl Jazeera ArabicAl Jazeera EnglishAl Jazeera Investigative UnitAl Jazeera MubasherAl Jazeera DocumentaryAl Jazeera BalkansAJ+Our NetworkShow moreAl Jazeera Centre for StudiesAl Jazeera Media InstituteLearn ArabicAl Jazeera Centre for Public Liberties & Human RightsAl Jazeera ForumAl Jazeera Hotel PartnersFollow Al Jazeera English:facebooktwitteryoutubeinstagram-colored-outlinerss© 2023 Al Jazeera Media Network",0.17239,0.30488,1887,3,0,5,2,0
7,https://www.aljazeera.com/news/2023/2/25/as-long-as-it-takes-us-aid-to-ukraine-sustainable-experts-say,"Washington, DC – The words “as long as it takes” have become a rallying cry for American officials as they support Ukraine’s fight against the Russian invasion, signalling an open-ended commitment to help Kyiv.US President Joe Biden put it bluntly on Tuesday when he said in a speech that the United States and its allies will “not tire” of backing Ukraine — a message seemingly directed at his Russian counterpart Vladimir Putin.Since Russia launched its assault a year ago, the US has provided billions of dollars in aid to Ukraine, which experts say is necessary not only to back Ukrainians but to advance US national interests.Despite opposition from some US politicians, Washington should be able to maintain this level of support to Kyiv in the long term, analysts argue.“This policy is definitely sustainable,” said Simon Miles, an assistant professor at Duke University’s Sanford School of Public Policy.Miles told Al Jazeera that, while the assistance seems significant in terms of the dollar amount when put in the context of the entire US government budget, the numbers are “not overly large pieces of the whole pie”.“The amounts of money we’re talking about are, I think, a pretty small price to pay if you look at what the alternative is — what it would mean for Vladimir Putin to succeed, for not just the United States and its place in the world but in fact for the entire global commons.”‘Appeasement doesn’t work’Washington marked the first anniversary of the invasion on Friday by announcing new aid to Ukraine and sanctions against Russia — the two main tools it has used to back Kyiv.“The United States will continue to work with its allies and partners to provide Ukraine with capabilities to meet its immediate battlefield needs and longer-term security assistance requirements for as long as it takes,” the Pentagon said on Friday.The US Congress approved more than $100bn for Ukraine through four spending bills last year — funds that the Biden administration has been dispensing through periodic military, humanitarian and budgetary aid to Kyiv.According to the Treasury Department, the US government spent $6.27 trillion overall in the 2022 fiscal year.“We have learned repeatedly in the 20th century that appeasement or hiding from reality doesn’t work. It only encourages the aggressor,” said Igor Lukes, a professor of international affairs at Boston University’s Frederick S Pardee School of Global Studies.Lukes added that, if Putin were to conquer Ukraine and get to its western borders, Russia would be “eyeball to eyeball” with several NATO countries, including Poland and Romania.The US-led alliance has a collective defence pact, meaning an attack on one country is considered an attack on all.“Opposing Putin now and opposing him in Ukraine is an American national interest,” Lukes told Al Jazeera.He said the war in Ukraine is “clear-cut” foreign aggression by one sovereign nation against another, making it a global matter. “The war is not about Ukraine only. It’s also about us,” he explained.US Secretary of State Antony Blinken echoed that assessment at the United Nations Security Council on Friday.“Nations around the world continue to stand with Ukraine because we all recognise that, if we abandon Ukraine, we abandon the UN Charter itself and the principles and rules that make all countries safer and more secure,” Blinken said.Some right-wing US legislators have criticised Biden’s visit to Ukraine [Ukrainian Presidential Press Office via AP Photo]Far-right dissentStill, a small but vocal contingency of far-right legislators in the US Congress has been increasingly critical of Washington’s aid to Ukraine.Ultraconservative legislators slammed Biden earlier this week for visiting Ukraine, accusing him of ignoring crises at home in favour of a foreign conflict.Lukes said such voices are “waiting for an opportunity to make a spectacle of themselves” and remain on the fringe, stressing that Ukraine has been a unifying issue in a deeply divided Washington.I think Senator Romney would be the first to tell you that we don’t always agree.But he knows what I know: that standing with Ukraine — and standing up for freedom — advances our national security. https://t.co/X67SkDIL6W— President Biden (@POTUS) February 24, 2023Matthew Pauly, an associate professor of history at Michigan State University, said no one can advance a “reasonable argument” that a Russian victory in Ukraine would not threaten US interests.Russia launched its all-out invasion of Ukraine on February 24, 2022 — one year ago — after a months-long standoff that saw Moscow amass troops near the Ukrainian borders as Putin demanded an end to NATO expansion into former Soviet republics.But Washington stresses the invasion is not about NATO or Russian security interests but is rather a push by Putin to erase Ukraine’s national identity.“This is a war that is imposed on a sovereign nation by another nation. And if the Ukrainians are willing to fight for the security and peace of Europe, the least the US can do is support them in this effort because it’s in the direct strategic interests of the United States,” Pauly said.He described the Russian invasion of Ukraine as a “discernible” threat to the US.“The defence budget — some can argue about the nature of that but why does it exist if not to protect the United States? So in my view, this is where expenditures are absolutely justified because the security threat is real,” Pauly told Al Jazeera.‘Just and durable’ peacePauly stressed that Ukrainians desperately want peace.On Friday, Blinken called on the international community to pursue a “just and durable” peace in Ukraine.“History teaches us that it’s the nature of peace that matters,” Blinken said.“For peace to be just, it must uphold the principles at the heart of the UN Charter: sovereignty, territorial integrity, independence. For peace to be durable, it must ensure that Russia can’t simply rest, rearm and relaunch the war in a few months or a few years.”Pauly said a just peace would entail “the liberation of all Ukrainian territory”, including Crimea, which Russia illegally annexed in 2014.For his part, Miles, the public policy professor at Duke University, said it will be up to the Ukrainian government to decide where to draw the line.“The mood in Kyiv today really does not seem to be that they’re interested in ceding any ground,” he added. “They’re going to prosecute this to the finish, in large part because they don’t want a sort of frozen conflict or a simmering grey zone conflict going on on their borders.”But Putin has signalled that Russia will not relent and will pursue the conflict for the long run.Miles said that, though the Russian army has been “greatly degraded” after “taking a beating” over the past year, Putin will still have a major say in when the war ends.Some dovish foreign policy advocates and European leaders have warned against pushing Putin too hard, noting that — despite its setbacks in Ukraine — Russia remains a nuclear power.Russian officials have hinted at the risk of a nuclear war over the past year but Washington says there has been no detected change in Moscow’s nuclear posture.Pauly said that, while threats should be taken seriously, Russia’s intent is to “weaken [the] unified resolve” of the US and its allies.Miles also played down Moscow’s nuclear threats or risks of direct confrontation between the US and Russia.“What message does it send to other nuclear powers, other would-be nuclear powers, if they believe that you can get away with anything by just rattling the nuclear sabre?” Miles said.“I think a world in which there are no consequences for states with nuclear weapons for grotesque misbehaviour, like Vladimir Putin right now, is a more dangerous world.”",0.01541,0.36849,7781,23,7,17,10,0
8,https://www.aljazeera.com/news/2023/2/25/russia-ukraine-war-list-of-key-events-day-367,"Here is the situation as it stands on Saturday, February 25, 2023:FightingUkraine’s military said Russia had doubled the number of ships on active duty in the Black Sea and predicted this could be in preparation for more missile attacks.Russia claimed its forces continued their attack in Ukraine’s eastern Donetsk region on Friday, killing up to 240 Ukrainian soldiers over the past 24 hours.Ukraine’s President Volodymyr Zelenskyy promised on Friday, the first anniversary of the war, to do everything to defeat Russia this year.The first German-made Leopard tanks arrived in Kyiv, from Poland, to mark the occasion.Polish Prime Minister Mateusz Morawiecki, who was visiting Kyiv, said his country wants to help Ukraine repel Russian troops and deliver a “clear and measurable signal of further support”.Resident Olha visits the grave of her son, Yuri Stiahliuk, a Ukrainian service member killed in action against Russian troops, at a cemetery in the town of Bucha, outside Kyiv, Ukraine [Valentyn Ogirenko/Reuters]DiplomacyChina called for urgent peace talks as it released its 12-point plan to end the war.While Zelenskyy welcomed some elements of the Chinese proposal, he said only the country where a war is being fought should be the initiator of a peace plan.US President Joe Biden said he saw nothing in the Chinese plan “that would be beneficial to anyone other than Russia”.Washington announced a $2bn package of military aid for Ukraine and a raft of additional sanctions and tariffs hitting Russia’s mining and metals industries, as well as companies from third countries accused of supplying Moscow. Group of Seven (G7) members Britain and Canada unveiled similar measures, as did the 27-nation European Union.The EU package includes tighter export restrictions regarding dual-use goods as well as measures against entities supporting the war, spreading propaganda or delivering drones used by Russia.Global financial crimes watchdog Financial Action Task Force (FATF) suspended Russia’s membership on Friday, saying Moscow’s war in Ukraine violated the organisation’s principles.Source: News AgenciesAboutShow moreAbout UsCode of EthicsTerms and ConditionsEU/EEA Regulatory NoticePrivacy PolicyCookie PolicyCookie PreferencesSitemapCommunity GuidelinesWork for usHR QualityConnectShow moreContact UsAdvertise with usAppsChannel FinderTV SchedulePodcastsSubmit a TipOur ChannelsShow moreAl Jazeera ArabicAl Jazeera EnglishAl Jazeera Investigative UnitAl Jazeera MubasherAl Jazeera DocumentaryAl Jazeera BalkansAJ+Our NetworkShow moreAl Jazeera Centre for StudiesAl Jazeera Media InstituteLearn ArabicAl Jazeera Centre for Public Liberties & Human RightsAl Jazeera ForumAl Jazeera Hotel PartnersFollow Al Jazeera English:facebooktwitteryoutubeinstagram-colored-outlinerss© 2023 Al Jazeera Media Network",0.01917,0.20583,2816,7,5,9,0,2
9,https://www.aljazeera.com/news/2023/2/25/eu-approves-10th-package-of-sanctions-on-russia-over-ukraine-war,"The European Union has approved a tenth package of sanctions against Russia on the one-year anniversary of Moscow’s full-scale invasion of Ukraine, EU officials said.The latest round of sanctions provides for additional trade restrictions on Russia, the Swedish EU Council Presidency announced in Brussels on Friday evening, and are designed to make financing the war more difficult as well as starve Russia of tech equipment and spare parts for arms used against Ukraine.The package includes tighter export restrictions regarding dual-use goods as well as measures against entities supporting Russia’s war, including spreading propaganda in support of the invasion and delivering drones used by Russia to attack Ukraine.“Together, the EU member states have imposed the most forceful and far-reaching sanctions ever to help Ukraine win the war,” the EU presidency announced on Twitter.“The EU stands united with Ukraine and the Ukrainian people. We will keep supporting Ukraine, for as long as it takes.”Together, the EU Member States have imposed the most forceful and far-reaching sanctions ever to help Ukraine win the war.The EU stands united with Ukraine and the Ukrainian people. We will keep supporting Ukraine, for as long as it takes. (3/3)— Swedish Presidency of the Council of the EU (@sweden2023eu) February 24, 2023 The measures are also meant to blacklist more individuals including what the West says are Russian propagandists, those Kyiv holds responsible for deporting Ukrainian children to Russia and those involved in the production of Iranian drones deployed on the front line of the war.The package was also designed to cut off more Russian banks, including the private Alfa-Bank and the online bank Tinkoff, from the global system SWIFT and cut trade between the EU and Russia by more than 10 billion euros ($10.5bn), according to the bloc’s executive.With just two hours to go to midnight on Friday, negotiators from EU member states made it across the finish line to agree on the sanctions after Poland earlier threw a spanner into the works.Warsaw had said the proposed restrictions on EU imports of Russian rubber included such a big quota of imports exempted, and such long transition periods, that they would have no effect in practice.Other EU countries were baffled that Warsaw – a leading Russia hawk in the bloc – was risking having no new sanctions announced on the one-year anniversary of Russia’s attack against Ukraine over just one element of a broader package.All member states need to approve sanctions for them to be enacted, making negotiations among the 27 often tedious and lengthy.“This is very bad optics. What was supposed to be key here is a message of solidarity with Ukraine on this special day,” said one diplomat involved in the confidential negotiations between the 27 EU countries in the bloc’s hub Brussels.Earlier on Friday, Ukrainian Prime Minister Denys Shmyhal posed in front of four Leopard battle tanks provided by Poland and posted a series of photos of them being handed over as his embattled nation marked a year since the start of the invasion.Shmyhal stood with Polish Prime Minister Mateusz Morawiecki for the images posted on Telegram.“A year ago, tanks went to Ukraine to deprive Ukrainians of their freedom,” Schmyhal said. “Today, tanks have also entered Ukraine, but to protect freedom.”Poland is giving Ukraine 14 Leopard A2 tanks. Morawiecki also said 60 PT-91 main battle tanks would be provided after they were promised in January.The PT-91 Twardy is a Polish combat vehicle based on the Soviet T-72 tank but further developed and modernised.Earlier, Poland’s defence minister Mariusz Blaszczak said Ukrainian soldiers would be trained by Polish, Canadian and Norwegian instructors at the Leopard training centre in western Poland.",0.10864,0.40752,3806,14,8,12,0,0
