,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
0,BBC,0.07627,0.36252,0.3006,0.2147,0.1718,0.0143,0.0286,https://www.bbc.co.uk/news/world-europe-64779505
1,BBC,0.04446,0.44867,0.2651,0.2121,0.106,0.0177,0.0,https://www.bbc.co.uk/news/uk-england-suffolk-64760034
2,BBC,0.02919,0.3236,0.2046,0.1508,0.3661,0.0108,0.0215,https://www.bbc.co.uk/news/world-europe-64718740
3,BBC,0.08788,0.44437,0.1635,0.1635,0.1144,0.0,0.0,https://www.bbc.co.uk/news/uk-england-merseyside-64746740
4,BBC,0.06359,0.23566,0.542,0.3523,0.0813,0.0,0.0542,https://www.bbc.co.uk/news/world-europe-64779730
5,BBC,0.10526,0.50724,0.1883,0.2173,0.1159,0.0,0.0,https://www.bbc.co.uk/news/newsbeat-64732658
6,BBC,0.02111,0.3793,0.324,0.162,0.0972,0.0,0.0,https://www.bbc.co.uk/news/uk-england-lancashire-64784173
7,BBC,0.0231,0.18173,0.385,0.33,0.055,0.0,0.0,https://www.bbc.co.uk/news/uk-northern-ireland-64577052
8,BBC,0.07227,0.47396,0.3089,0.1359,0.1112,0.0,0.0,https://www.bbc.co.uk/news/uk-scotland-glasgow-west-64756904
9,BBC,-0.01094,0.31725,0.2552,0.237,0.2552,0.0365,0.0,https://www.bbc.co.uk/news/uk-england-london-64756620
10,BBC,0.08621,0.24962,0.4017,0.4017,0.0927,0.0,0.0,https://www.bbc.co.uk/news/world-europe-64740093
11,BBC,-0.01384,0.40389,0.3193,0.2702,0.0983,0.0,0.0,https://www.bbc.co.uk/news/uk-england-derbyshire-64736765
12,BBC,0.05608,0.4632,0.2947,0.1842,0.1351,0.0123,0.0,https://www.bbc.co.uk/news/uk-england-northamptonshire-64765698
13,BBC,0.04708,0.37927,0.3148,0.2421,0.2906,0.0847,0.1211,https://www.bbc.co.uk/news/world-europe-64762219
14,BBC,0.0788,0.44824,0.1443,0.1122,0.0802,0.0,0.0,https://www.bbc.co.uk/news/uk-england-wiltshire-64735323
15,BBC,0.00593,0.16185,0.4278,0.3137,0.1711,0.057,0.0,https://www.bbc.co.uk/news/world-europe-64766558
16,BBC,0.07999,0.43767,0.1723,0.2369,0.2369,0.0323,0.0108,https://www.bbc.co.uk/news/world-asia-china-64754510
17,BBC,0.0053,0.34271,0.3523,0.2082,0.3684,0.048,0.0,https://www.bbc.co.uk/news/world-europe-64748349
18,BBC,-0.01344,0.35057,0.227,0.2794,0.1048,0.0,0.0,https://www.bbc.co.uk/news/uk-england-coventry-warwickshire-64746180
19,BBC,-0.00185,0.13519,0.3675,0.2887,0.0525,0.0,0.0,https://www.bbc.co.uk/news/world-africa-64759647
